Category,Book Name,Book Rate,Book Price(£),Book Availability,Book Url
Romance,Her Backup Boyfriend (The Sorensen Family #1),33.97,One,In stock,https://books.toscrape.com/catalogue/her-backup-boyfriend-the-sorensen-family-1_896/index.html
Romance,First and First (Five Boroughs #3),15.97,Four,In stock,https://books.toscrape.com/catalogue/first-and-first-five-boroughs-3_893/index.html
Romance,Fifty Shades Darker (Fifty Shades #2),21.96,One,In stock,https://books.toscrape.com/catalogue/fifty-shades-darker-fifty-shades-2_892/index.html
Romance,The Wedding Dress,24.12,One,In stock,https://books.toscrape.com/catalogue/the-wedding-dress_864/index.html
Romance,Suddenly in Love (Lake Haven #1),55.99,Two,In stock,https://books.toscrape.com/catalogue/suddenly-in-love-lake-haven-1_835/index.html
Romance,Something More Than This,16.24,Four,In stock,https://books.toscrape.com/catalogue/something-more-than-this_834/index.html
Romance,Doing It Over (Most Likely To #1),35.61,Three,In stock,https://books.toscrape.com/catalogue/doing-it-over-most-likely-to-1_802/index.html
Romance,The Wedding Pact (The O'Malleys #2),32.61,Three,In stock,https://books.toscrape.com/catalogue/the-wedding-pact-the-omalleys-2_767/index.html
Romance,Hold Your Breath (Search and Rescue #1),28.82,One,In stock,https://books.toscrape.com/catalogue/hold-your-breath-search-and-rescue-1_700/index.html
Romance,Dirty (Dive Bar #1),40.83,Four,In stock,https://books.toscrape.com/catalogue/dirty-dive-bar-1_615/index.html
Romance,Take Me Home Tonight (Rock Star Romance #3),53.98,Three,In stock,https://books.toscrape.com/catalogue/take-me-home-tonight-rock-star-romance-3_605/index.html
Romance,Off the Hook (Fishing for Trouble #1),47.67,Three,In stock,https://books.toscrape.com/catalogue/off-the-hook-fishing-for-trouble-1_601/index.html
Romance,A Gentleman's Position (Society of Gentlemen #3),14.75,Five,In stock,https://books.toscrape.com/catalogue/a-gentlemans-position-society-of-gentlemen-3_584/index.html
Romance,"Sit, Stay, Love",20.9,Three,In stock,https://books.toscrape.com/catalogue/sit-stay-love_486/index.html
Romance,A Girl's Guide to Moving On (New Beginnings #2),31.3,One,In stock,https://books.toscrape.com/catalogue/a-girls-guide-to-moving-on-new-beginnings-2_359/index.html
Romance,The Perfect Play (Play by Play #1),59.99,Three,In stock,https://books.toscrape.com/catalogue/the-perfect-play-play-by-play-1_352/index.html
Romance,Dark Lover (Black Dagger Brotherhood #1),12.87,One,In stock,https://books.toscrape.com/catalogue/dark-lover-black-dagger-brotherhood-1_319/index.html
Romance,Changing the Game (Play by Play #2),13.38,Three,In stock,https://books.toscrape.com/catalogue/changing-the-game-play-by-play-2_317/index.html
Romance,A Walk to Remember,56.43,One,In stock,https://books.toscrape.com/catalogue/a-walk-to-remember_312/index.html
Romance,The Purest Hook (Second Circle Tattoos #3),12.25,One,In stock,https://books.toscrape.com/catalogue/the-purest-hook-second-circle-tattoos-3_271/index.html
Romance,The Obsession,45.43,One,In stock,https://books.toscrape.com/catalogue/the-obsession_268/index.html
Romance,Reservations for Two,11.1,Three,In stock,https://books.toscrape.com/catalogue/reservations-for-two_211/index.html
Romance,Best of My Love (Fool's Gold #20),27.41,Two,In stock,https://books.toscrape.com/catalogue/best-of-my-love-fools-gold-20_127/index.html
Romance,Where Lightning Strikes (Bleeding Stars #3),39.77,Three,In stock,https://books.toscrape.com/catalogue/where-lightning-strikes-bleeding-stars-3_96/index.html
Romance,This One Moment (Pushing Limits #1),48.71,One,In stock,https://books.toscrape.com/catalogue/this-one-moment-pushing-limits-1_88/index.html
Romance,"Rhythm, Chord & Malykhin",28.34,Two,In stock,https://books.toscrape.com/catalogue/rhythm-chord-malykhin_47/index.html
Romance,My Perfect Mistake (Over the Top #1),38.92,Two,In stock,https://books.toscrape.com/catalogue/my-perfect-mistake-over-the-top-1_35/index.html
Romance,Listen to Me (Fusion #1),58.99,Three,In stock,https://books.toscrape.com/catalogue/listen-to-me-fusion-1_29/index.html
Romance,Imperfect Harmony,34.74,Four,In stock,https://books.toscrape.com/catalogue/imperfect-harmony_26/index.html
Romance,Fighting Fate (Fighting #6),39.24,Three,In stock,https://books.toscrape.com/catalogue/fighting-fate-fighting-6_18/index.html
Romance,Deep Under (Walker Security #1),47.09,Five,In stock,https://books.toscrape.com/catalogue/deep-under-walker-security-1_15/index.html
Romance,Charity's Cross (Charles Towne Belles #4),41.24,One,In stock,https://books.toscrape.com/catalogue/charitys-cross-charles-towne-belles-4_12/index.html
Romance,Bounty (Colorado Mountain #7),37.26,Four,In stock,https://books.toscrape.com/catalogue/bounty-colorado-mountain-7_9/index.html
Womens Fiction,I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,Four,In stock,https://books.toscrape.com/catalogue/i-had-a-nice-time-and-other-lies-how-to-find-love-sht-like-that_814/index.html
Womens Fiction,Will You Won't You Want Me?,13.86,Three,In stock,https://books.toscrape.com/catalogue/will-you-wont-you-want-me_644/index.html
Womens Fiction,Keep Me Posted,20.46,Four,In stock,https://books.toscrape.com/catalogue/keep-me-posted_594/index.html
Womens Fiction,Grey (Fifty Shades #4),48.49,Four,In stock,https://books.toscrape.com/catalogue/grey-fifty-shades-4_592/index.html
Womens Fiction,Meternity,43.58,Three,In stock,https://books.toscrape.com/catalogue/meternity_478/index.html
Womens Fiction,Some Women,13.73,Five,In stock,https://books.toscrape.com/catalogue/some-women_341/index.html
Womens Fiction,Shopaholic Ties the Knot (Shopaholic #3),48.39,Five,In stock,https://books.toscrape.com/catalogue/shopaholic-ties-the-knot-shopaholic-3_340/index.html
Womens Fiction,Can You Keep a Secret?,21.94,One,In stock,https://books.toscrape.com/catalogue/can-you-keep-a-secret_315/index.html
Womens Fiction,Twenties Girl,42.8,Two,In stock,https://books.toscrape.com/catalogue/twenties-girl_292/index.html
Womens Fiction,The Undomestic Goddess,45.75,Four,In stock,https://books.toscrape.com/catalogue/the-undomestic-goddess_286/index.html
Womens Fiction,The Nanny Diaries (Nanny #1),52.53,Five,In stock,https://books.toscrape.com/catalogue/the-nanny-diaries-nanny-1_265/index.html
Womens Fiction,The Devil Wears Prada (The Devil Wears Prada #1),44.29,One,In stock,https://books.toscrape.com/catalogue/the-devil-wears-prada-the-devil-wears-prada-1_243/index.html
Womens Fiction,Something Borrowed (Darcy & Rachel #1),48.96,Five,In stock,https://books.toscrape.com/catalogue/something-borrowed-darcy-rachel-1_224/index.html
Womens Fiction,Something Blue (Darcy & Rachel #2),54.62,One,In stock,https://books.toscrape.com/catalogue/something-blue-darcy-rachel-2_223/index.html
Womens Fiction,I've Got Your Number,19.69,One,In stock,https://books.toscrape.com/catalogue/ive-got-your-number_173/index.html
Womens Fiction,The Edge of Reason (Bridget Jones #2),19.18,Four,In stock,https://books.toscrape.com/catalogue/the-edge-of-reason-bridget-jones-2_63/index.html
Womens Fiction,Bridget Jones's Diary (Bridget Jones #1),29.82,One,In stock,https://books.toscrape.com/catalogue/bridget-joness-diary-bridget-jones-1_10/index.html
Fiction,Soumission,50.1,One,In stock,https://books.toscrape.com/catalogue/soumission_998/index.html
Fiction,Private Paris (Private #10),47.61,Five,In stock,https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html
Fiction,"We Love You, Charlie Freeman",50.27,Five,In stock,https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html
Fiction,Thirst,17.27,Five,In stock,https://books.toscrape.com/catalogue/thirst_946/index.html
Fiction,The Murder That Never Was (Forensic Instincts #5),54.11,Three,In stock,https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html
Fiction,Tuesday Nights in 1980,21.04,Two,In stock,https://books.toscrape.com/catalogue/tuesday-nights-in-1980_870/index.html
Fiction,The Vacationers,42.15,Four,In stock,https://books.toscrape.com/catalogue/the-vacationers_863/index.html
Fiction,The Regional Office Is Under Attack!,51.36,Five,In stock,https://books.toscrape.com/catalogue/the-regional-office-is-under-attack_858/index.html
Fiction,Finders Keepers (Bill Hodges Trilogy #2),53.53,Five,In stock,https://books.toscrape.com/catalogue/finders-keepers-bill-hodges-trilogy-2_807/index.html
Fiction,The Time Keeper,27.88,Five,In stock,https://books.toscrape.com/catalogue/the-time-keeper_766/index.html
Fiction,The Testament of Mary,52.67,Four,In stock,https://books.toscrape.com/catalogue/the-testament-of-mary_765/index.html
Fiction,The First Hostage (J.B. Collins #2),25.85,Three,In stock,https://books.toscrape.com/catalogue/the-first-hostage-jb-collins-2_749/index.html
Fiction,Take Me with You,45.21,Three,In stock,https://books.toscrape.com/catalogue/take-me-with-you_741/index.html
Fiction,Still Life with Bread Crumbs,26.41,Three,In stock,https://books.toscrape.com/catalogue/still-life-with-bread-crumbs_738/index.html
Fiction,Shtum,55.84,Four,In stock,https://books.toscrape.com/catalogue/shtum_733/index.html
Fiction,My Name Is Lucy Barton,41.56,One,In stock,https://books.toscrape.com/catalogue/my-name-is-lucy-barton_720/index.html
Fiction,My Mrs. Brown,24.48,Three,In stock,https://books.toscrape.com/catalogue/my-mrs-brown_719/index.html
Fiction,Mr. Mercedes (Bill Hodges Trilogy #1),28.9,One,In stock,https://books.toscrape.com/catalogue/mr-mercedes-bill-hodges-trilogy-1_717/index.html
Fiction,I Am Pilgrim (Pilgrim #1),10.6,Four,In stock,https://books.toscrape.com/catalogue/i-am-pilgrim-pilgrim-1_703/index.html
Fiction,Eligible (The Austen Project #4),27.09,Three,In stock,https://books.toscrape.com/catalogue/eligible-the-austen-project-4_692/index.html
